code,title,author,year,disponibility,quantity
1,Madame Bovary,Gustave Flaubert,1998,True,1
2,Meu pé de laranja lima,José Mauro de Vasconcelos,2013,True,5
3,Memórias do Subsolo,Fiódor Dostoiévski,2000,True,1
4,Orgulho e preconceito,Jane Austen,2021,True,6
5,Dom Casmurro,Machado de Assis,2016,True,2
6,A Cor Púrpura,Alice Walker,2009,True,1
7,Por que os generalistas vencem em um mundo de especialistas,David Epstein,2020,True,3
8,O Ceifador,Neal Shuserman,2017,True,2
9,O Morro dos Ventos Uivantes,Emily Bronte,2021,True,5
10,O Conto da Aia,Margaret Atwood,2017,True,4
11,Jogos Vorazes,Suzanne Collins,2010,False,0
12,Mito da Caverna,Platão,2015,True,1
13,Fragmentos de Horror,Junji Ito,2017,True,3
